iter	Passed	Remaining
667	958	476
668	959	474
669	959	472
670	961	471
671	963	470
672	964	468
673	965	466
674	966	465
675	967	463
676	968	461
677	969	460
678	970	458
679	970	456
680	971	455
681	972	453
682	973	451
683	974	450
684	975	448
685	977	447
686	978	445
687	979	444
688	980	442
689	981	440
690	982	439
691	983	437
692	984	435
693	984	434
694	985	432
695	986	431
696	987	429
697	988	427
698	989	426
699	992	425
700	993	423
701	994	422
702	995	420
703	996	419
704	997	417
705	999	416
706	1000	414
707	1001	413
708	1002	411
709	1003	409
710	1005	408
711	1006	407
712	1008	405
713	1009	404
714	1010	402
715	1011	401
716	1012	399
717	1013	397
718	1014	396
719	1015	394
720	1016	393
721	1017	391
722	1018	390
723	1021	389
724	1022	387
725	1023	386
726	1024	384
727	1025	383
728	1026	381
729	1027	380
730	1028	378
731	1029	377
732	1030	375
733	1031	373
734	1032	372
735	1034	370
736	1035	369
737	1036	368
738	1038	366
739	1039	365
740	1040	363
741	1041	362
742	1042	360
743	1043	359
744	1044	357
745	1045	355
746	1046	354
747	1047	352
748	1050	351
749	1051	350
750	1052	349
751	1053	347
752	1054	346
753	1055	344
754	1057	343
755	1058	341
756	1059	340
757	1060	338
758	1061	337
759	1064	336
760	1065	334
761	1066	333
762	1067	331
763	1068	330
764	1069	328
765	1071	327
766	1072	325
767	1073	324
768	1074	322
769	1075	321
770	1076	319
771	1078	318
772	1080	317
773	1082	316
774	1083	314
775	1084	313
776	1085	311
777	1086	310
778	1087	308
779	1088	307
780	1089	305
781	1090	303
782	1091	302
783	1093	301
784	1094	299
785	1095	298
786	1097	296
787	1098	295
788	1099	293
789	1100	292
790	1101	291
791	1103	289
792	1104	288
793	1105	286
794	1106	285
795	1108	284
796	1109	282
797	1110	281
798	1111	279
799	1112	278
800	1113	276
801	1114	275
802	1115	273
803	1116	272
804	1117	270
805	1118	269
806	1119	267
807	1120	266
808	1121	264
809	1123	263
810	1124	262
811	1125	260
812	1126	259
813	1127	257
814	1128	256
815	1129	254
816	1131	253
817	1132	251
818	1133	250
819	1134	249
820	1138	248
821	1139	246
822	1140	245
823	1141	243
824	1143	242
825	1144	241
826	1145	239
827	1146	238
828	1147	236
829	1149	235
830	1151	234
831	1153	232
832	1154	231
833	1156	230
834	1157	228
835	1158	227
836	1159	225
837	1160	224
838	1161	222
839	1162	221
840	1163	220
841	1164	218
842	1166	217
843	1167	215
844	1168	214
845	1170	213
846	1171	211
847	1172	210
848	1173	208
849	1174	207
850	1175	205
851	1176	204
852	1177	202
853	1178	201
854	1179	199
855	1180	198
856	1181	197
857	1183	195
858	1184	194
859	1186	193
860	1187	191
861	1188	190
862	1189	188
863	1190	187
864	1190	185
865	1192	184
866	1193	183
867	1193	181
868	1195	180
869	1197	178
870	1198	177
871	1200	176
872	1201	174
873	1202	173
874	1203	171
875	1204	170
876	1205	169
877	1206	167
878	1207	166
879	1207	164
880	1208	163
881	1210	161
882	1211	160
883	1213	159
884	1214	157
885	1215	156
886	1216	154
887	1217	153
888	1218	152
889	1219	150
890	1220	149
891	1221	147
892	1222	146
893	1223	145
894	1226	143
895	1228	142
896	1230	141
897	1231	139
898	1232	138
899	1233	137
900	1234	135
901	1235	134
902	1236	132
903	1236	131
904	1237	129
905	1239	128
906	1241	127
907	1242	125
908	1243	124
909	1244	123
910	1245	121
911	1246	120
912	1247	118
913	1248	117
914	1249	116
915	1250	114
916	1251	113
917	1252	111
918	1253	110
919	1255	109
920	1256	107
921	1257	106
922	1259	105
923	1260	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1265	96
929	1266	95
930	1268	93
931	1269	92
932	1271	91
933	1272	89
934	1274	88
935	1275	87
936	1276	85
937	1277	84
938	1278	83
939	1279	81
940	1280	80
941	1281	78
942	1282	77
943	1283	76
944	1284	74
945	1286	73
946	1288	72
947	1289	70
948	1290	69
949	1291	67
950	1291	66
951	1292	65
952	1293	63
953	1294	62
954	1296	61
955	1297	59
956	1299	58
957	1300	57
958	1302	55
959	1303	54
960	1304	52
961	1305	51
962	1306	50
963	1306	48
964	1307	47
965	1308	46
966	1309	44
967	1310	43
968	1311	41
969	1313	40
970	1315	39
971	1316	37
972	1317	36
973	1318	35
974	1319	33
975	1320	32
976	1321	31
977	1322	29
978	1323	28
979	1324	27
980	1325	25
981	1326	24
982	1328	22
983	1329	21
984	1330	20
985	1331	18
986	1333	17
987	1334	16
988	1335	14
989	1336	13
990	1337	12
991	1338	10
992	1339	9
993	1339	8
994	1340	6
995	1343	5
996	1344	4
997	1346	2
998	1347	1
999	1348	0
